subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
intra_candle_vwap_deviation+micro_price_acceleration+vwap,3,intra_candle_vwap_deviation+micro_price_acceleration+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_baseline,0.803654970760234,0.8787471377237293,0.428946906298628,0.13830533275893167,27.721688268307048,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_enhanced,0.8049707602339181,0.8818482157405898,0.4286509197024673,0.13752411146522367,27.893652836398374,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,7day_logistic_baseline,0.7618127786032689,0.8395890767522697,0.4984426290000907,0.16193020393906984,30.600736218848706,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,7day_logistic_enhanced,0.7658989598811293,0.844062677572166,0.4852888189249844,0.15986459535414071,31.508199167674917,1
intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,3,intra_candle_vwap_deviation+micro_acceleration_decay_15s+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+tte_range_asymmetry+vwap,3,intra_candle_vwap_deviation+tte_range_asymmetry+vwap,7day_logistic_baseline,0.8029717682020803,0.8801950264914644,0.427990272743543,0.13798189407770098,27.488831116789964,1
intra_candle_vwap_deviation+tte_range_asymmetry+vwap,3,intra_candle_vwap_deviation+tte_range_asymmetry+vwap,7day_logistic_enhanced,0.8054234769687965,0.8828389697661467,0.4282184826438797,0.1373300516499324,27.679129248835714,1
intra_candle_vwap_deviation+tte_range_asymmetry+vwap,3,intra_candle_vwap_deviation+tte_range_asymmetry+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,3,tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_baseline,0.4722222222222222,0.5269093633954529,0.6938627558558879,0.2503577714827125,50.031969068503614,1
tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,3,tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_enhanced,0.4722222222222222,0.5122073938920955,0.6957170290518436,0.25128431089977266,50.09730569857568,1
tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,3,tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
