feature_dropped,model,n_features_used,impact_accuracy,impact_roc_auc,impact_log_loss,impact_brier,impact_calibration_gap_pp,full_accuracy,drop_accuracy,full_roc_auc,drop_roc_auc,full_log_loss,drop_log_loss,full_brier,drop_brier,full_calibration_gap_pp,drop_calibration_gap_pp,helpfulness_score
close,7day_logistic_baseline,24,-3.4132654858076705e-05,-1.929539511946743e-05,-7.019285202553016e-05,-2.713797515632721e-05,-0.0020408368258273413,0.8004138506648351,0.8004479833196931,0.8877290287798736,0.887748324174993,0.45214304178541703,0.4520728489333915,0.1444841410242938,0.14445700304913747,24.766703607265363,24.764662770439536,-0.0001711672454176749
inst_vol_60s,7day_logistic_baseline,24,-1.4785244326187552e-05,-2.9806467463977526e-05,-9.196969132768684e-05,-3.147139229539575e-05,-0.0025716365068895186,0.8004138506648351,0.8004286359091612,0.8877290287798736,0.8877588352473376,0.45214304178541703,0.45205107209408935,0.1444841410242938,0.1444526696319984,24.766703607265363,24.764131970758473,-0.00019374916048214285
inst_vol_60s_bps,7day_logistic_baseline,24,-1.4785244326187552e-05,-2.9806467463977526e-05,-9.19697001948161e-05,-3.147139416859179e-05,-0.0025716362710141993,0.8004138506648351,0.8004286359091612,0.8877290287798736,0.8877588352473376,0.45214304178541703,0.4520510720852222,0.1444841410242938,0.1444526696301252,24.766703607265363,24.76413197099435,-0.00019374916886371495
buy_volume_ratio,7day_logistic_baseline,24,0.00019568884254139718,-0.00013899551277141153,-0.00019268166113040053,-8.430786631524745e-05,-0.009699016614096223,0.8004138506648351,0.8002181618222937,0.8877290287798736,0.887868024292645,0.45214304178541703,0.45195036012428663,0.1444841410242938,0.14439983315797855,24.766703607265363,24.757004590651267,-0.00031728636381662457
trend_zscore,7day_logistic_baseline,24,-0.0004951219920337202,-6.210746150425717e-05,0.0007911649077943506,0.00020761578742267695,-0.0862045699131464,0.8004138506648351,0.8009089726568688,0.8877290287798736,0.8877911362413778,0.45214304178541703,0.4529342066932114,0.1444841410242938,0.14469175681171648,24.766703607265363,24.680499037352217,-0.00042049445745241394
intra_candle_vwap_deviation,7day_logistic_enhanced,24,0.0014285916121391518,0.0012181955520097487,0.0037509163801496825,0.0011077089170290488,0.1759543327036006,0.7979402765407094,0.7965116849285703,0.8806599777879717,0.8794417822359619,0.5069188268361688,0.5106697432163185,0.14624646561323726,0.1473541745302663,25.91537202083914,26.09132635354274,0.009264955788363638
tick_entropy_10s,7day_logistic_enhanced,24,0.0007560169459547295,0.0004598678199679851,0.002106270403943955,0.00015047294667003275,0.01908912491520809,0.7979402765407094,0.7971842595947547,0.8806599777879717,0.8802001099680037,0.5069188268361688,0.5090250972401128,0.14624646561323726,0.1463969385599073,25.91537202083914,25.934461145754348,0.003663519365688783
micro_price_acceleration,7day_logistic_enhanced,24,0.00025945122334936066,0.0002589947863065323,0.0005014289195033328,0.00010474690750528204,0.011506093139974638,0.7979402765407094,0.7976808253173601,0.8806599777879717,0.8804009830016651,0.5069188268361688,0.5074202557556722,0.14624646561323726,0.14635121252074254,25.91537202083914,25.926878113979114,0.001239682768064254
micro_acceleration_decay_15s,7day_logistic_enhanced,24,0.0002971223385973554,0.00010386995674593891,0.00042862469660431834,4.2643948055837155e-05,0.003983871050390775,0.7979402765407094,0.7976431542021121,0.8806599777879717,0.8805561078312257,0.5069188268361688,0.5073474515327732,0.14624646561323726,0.1462891095612931,25.91537202083914,25.91935589188953,0.0009120996505073575
vwap,7day_logistic_enhanced,24,0.0003020123660003593,0.00014744844073677488,4.6621695912407723e-05,1.9136743905134868e-05,0.0028246510591678486,0.7979402765407094,0.7976382641747091,0.8806599777879717,0.8805125293472349,0.5069188268361688,0.5069654485320813,0.14624646561323726,0.1462656023571424,25.91537202083914,25.918196671898308,0.0005434657571463553
